"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.333532422780991","","0.339321404695511","","0.390961945056915","","0.336637645959854","0.31748366355896","0.573030769824982","0.533180177211761","0.631312012672424","0.54363602399826","0.573908567428589","0.589427828788757","0.495849043130875","0.51117467880249","0.640056967735291","0.61894690990448","0.558705985546112","0.594934701919556","0.633536577224731","0.608409464359283","0.578873872756958","0.731440126895905","0.741594791412354","0.729783952236176","0.724552810192108","0.741840481758118",
"Australia","AUS","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44020295143127","","1.4074912071228","","1.47130513191223","","1.40723323822021","1.44212782382965","1.50154197216034","1.50705575942993","1.38279473781586","1.3691999912262","1.36807608604431","1.38379085063934","1.41976547241211","1.45372104644775","1.49919033050537","1.43636846542358","1.36167418956757","1.35573124885559","1.35410094261169","1.37863683700562","1.39378583431244","1.27036511898041","1.29898488521576","1.35812592506409","1.32390677928925","1.50660192966461",
"Austria","AUT","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44895005226135","","1.35477888584137","","1.31755948066711","","1.30749690532684","1.34388208389282","1.47565114498138","1.37865650653839","1.37268495559692","1.36926245689392","1.35846436023712","1.39284467697144","1.43029069900513","1.40244364738464","1.44877302646637","1.45652639865875","1.39129602909088","1.38369190692902","1.33784782886505","1.38622164726257","1.39954924583435","1.33715832233429","1.39462888240814","1.38638341426849","1.41365766525269","1.41124832630157",
"Azerbaijan","AZE","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.12103068828583","","-1.02284121513367","","-0.906228959560394","","-0.981288135051727","-1.04470455646515","-1.05670249462128","-1.12416350841522","-1.27916121482849","-1.23339664936066","-1.32513201236725","-1.25976669788361","-1.30459702014923","-1.30184757709503","-1.29948163032532","-1.40288960933685","-1.47932517528534","-1.55243062973022","-1.56092178821564","-1.563645362854","-1.50814247131348","-1.52860414981842","-1.54086601734161","-1.52737867832184","-1.44162666797638","-1.41153395175934",
"Burundi","BDI","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.54957222938538","","-1.44287765026093","","-1.48983597755432","","-1.16489124298096","-1.17799639701843","-1.28100097179413","-0.634234488010406","-0.723143577575684","-0.714045226573944","-0.685290634632111","-0.689463794231415","-0.942692875862122","-0.927631795406342","-0.894518375396729","-0.95320188999176","-1.04275143146515","-1.2720273733139","-1.55564069747925","-1.57598125934601","-1.66952157020569","-1.72382569313049","-1.52661275863647","-1.4070155620575","-1.39635360240936","-1.36691832542419",
"Belgium","BEL","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43329954147339","","1.34284746646881","","1.36650443077087","","1.37745249271393","1.47829031944275","1.44026613235474","1.42076218128204","1.34239435195923","1.36077105998993","1.32498848438263","1.3466922044754","1.36068689823151","1.32516324520111","1.34942185878754","1.37298619747162","1.36629962921143","1.38754844665527","1.37725067138672","1.33863842487335","1.33044385910034","1.30838358402252","1.27814042568207","1.27089965343475","1.29709255695343","1.32572901248932",
"Benin","BEN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.259205192327499","","0.425980746746063","","0.41292342543602","","0.0508796386420727","0.187651932239532","0.0530563071370125","-0.0299640763550997","0.362777709960938","0.368180990219116","0.344647467136383","0.342523217201233","0.314489126205444","0.16639056801796","0.124485470354557","0.155436858534813","0.264536678791046","0.29437643289566","0.407765537500381","0.380507737398148","0.247411072254181","0.060940396040678","-0.0757769346237183","-0.233453392982483","-0.335694015026093","-0.218986943364143",
"Burkina Faso","BFA","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.533439755439758","","-0.396195322275162","","-0.230154827237129","","-0.387816607952118","-0.309724420309067","-0.433708816766739","-0.446520090103149","-0.341833859682083","-0.307009160518646","-0.283480763435364","-0.289741963148117","-0.252949893474579","-0.280185431241989","-0.30497083067894","-0.255501538515091","-0.352606743574142","-0.114221930503845","0.0134272389113903","0.0645605251193047","-0.0616534128785133","-0.208245500922203","-0.189439803361893","-0.116836667060852","-0.684045016765594","-0.809887170791626",
"Bangladesh","BGD","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0584283582866192","","-0.0855698809027672","","-0.22792449593544","","-0.43222051858902","-0.551806807518005","-0.672145783901215","-0.569969236850739","-0.451236516237259","-0.573499917984009","-0.442116975784302","-0.289043039083481","-0.268090695142746","-0.315068930387497","-0.401940673589706","-0.405487447977066","-0.474044501781464","-0.512201607227325","-0.584256231784821","-0.615438640117645","-0.742033064365387","-0.741862595081329","-0.769459009170532","-0.774502336978912","-0.753301620483398","-0.753886342048645",
"Bulgaria","BGR","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.428986370563507","","0.437017410993576","","0.460498780012131","","0.52853125333786","0.545891940593719","0.5696901679039","0.594892740249634","0.577117204666138","0.69093531370163","0.57797634601593","0.560471177101135","0.531482577323914","0.450080156326294","0.400915592908859","0.337255388498306","0.366472214460373","0.432639420032501","0.402378171682358","0.430081695318222","0.365172892808914","0.354652225971222","0.259386777877808","0.284104585647583","0.287512123584747","0.388988107442856",
"Bahrain","BHR","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.718783438205719","","-1.06540274620056","","-1.05687987804413","","-0.571163654327393","-0.590705573558807","-0.561549425125122","-0.743174850940704","-0.903966546058655","-0.856526553630829","-0.868917524814606","-0.790999948978424","-0.965909421443939","-1.21731686592102","-1.31802463531494","-1.31755971908569","-1.31115794181824","-1.31299293041229","-1.37177956104279","-1.38719844818115","-1.41809022426605","-1.42857217788696","-1.45315587520599","-1.49873185157776","-1.41840970516205","-1.37783300876617",
"Bahamas, The","BHS","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10283946990967","","1.15747666358948","","1.20222544670105","","1.18893682956696","1.03227174282074","0.98453950881958","0.942519128322601","1.02023363113403","1.09843242168427","1.12191426753998","1.00714540481567","0.988209545612335","0.960108458995819","0.934573888778687","0.924423694610596","1.04737889766693","0.95133250951767","0.851394236087799","0.849030554294586","0.773586869239807","0.904160439968109","0.913996696472168","0.903309464454651","0.872308373451233","0.860349118709564",
"Bosnia and Herzegovina","BIH","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.103825636208057","","-0.00821057427674532","","-0.108343385159969","","-0.0870445370674133","0.209610521793365","0.168824627995491","0.213584735989571","0.187260136008263","0.131010442972183","0.0151520045474172","0.00317180575802922","-0.0824492052197456","-0.159755006432533","-0.100325390696526","-0.116505213081837","-0.0709971114993095","-0.0981234684586525","-0.13105471432209","-0.205715715885162","-0.259601622819901","-0.243703991174698","-0.32339146733284","-0.317227274179459","-0.324730277061462","-0.319465935230255",
"Belarus","BLR","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.819772601127625","","-0.77269583940506","","-1.31242227554321","","-1.45189714431763","-1.45855021476746","-1.59736406803131","-1.76681733131409","-1.75380945205688","-1.70445394515991","-1.59331786632538","-1.54764413833618","-1.55507206916809","-1.66020834445953","-1.56718134880066","-1.54453980922699","-1.44301652908325","-1.46515250205994","-1.33933472633362","-1.35611796379089","-1.36333072185516","-1.40739989280701","-1.45295298099518","-1.58049023151398","-1.62772846221924","-1.66739654541016",
"Belize","BLZ","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.824221611022949","","0.881688356399536","","0.975879788398743","","0.796831011772156","0.842791497707367","0.7400723695755","0.688429117202759","0.544680774211884","0.526492059230804","0.646870255470276","0.744926631450653","0.685301244258881","0.695515275001526","0.695277273654938","0.711440205574036","0.520081162452698","0.577991187572479","0.57026344537735","0.570051848888397","0.430547833442688","0.503629267215729","0.521323442459106","0.541676640510559","0.535320281982422","0.539004623889923",
"Bermuda","BMU","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18036329746246","","1.16662049293518","","0.939376175403595","","1.12552392482758","1.20039057731628","1.13497161865234","1.15323007106781","1.01727342605591","0.972128868103027","0.967198193073273","0.963811635971069","0.988284409046173","1.00905168056488","1.02567172050476","1.00473141670227","","","","","","","","","","",
"Bolivia","BOL","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.155518606305122","","0.353770107030869","","0.189972907304764","","0.140369892120361","-0.0564173422753811","-0.170450285077095","-0.156710430979729","0.0764636099338531","0.0422239750623703","0.0029617075342685","0.00694658420979977","-0.0392411425709724","-0.0682377889752388","-0.0815852954983711","-0.0690479576587677","-0.0263673644512892","-0.00476541789248586","-0.0366767346858978","-0.0248409155756235","-0.0596669800579548","-0.117428041994572","-0.0864524021744728","-0.115398086607456","-0.197485566139221","-0.265191316604614",
"Brazil","BRA","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.242076978087425","","0.332852572202682","","0.301593601703644","","0.472238034009933","0.442828863859177","0.38860946893692","0.457679510116577","0.500075697898865","0.537074029445648","0.5689857006073","0.521999180316925","0.571348905563354","0.513676166534424","0.477906197309494","0.417397052049637","0.471930146217346","0.458871006965637","0.451975852251053","0.449531525373459","0.376852065324783","0.301444828510284","0.287395060062408","0.254508823156357","0.225268334150314","0.382853865623474",
"Barbados","BRB","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34296929836273","","1.27400147914886","","1.26449751853943","","1.23130881786346","1.15570759773254","1.10496938228607","0.949198722839355","1.03720331192017","1.02995073795319","0.946911215782166","1.12787127494812","1.1365772485733","1.11405873298645","1.13297867774963","1.13736414909363","1.14508330821991","1.09657406806946","1.08573019504547","1.1136167049408","1.10240888595581","1.10105216503143","1.1250011920929","1.12140023708344","1.13302564620972","1.16219222545624",
"Brunei Darussalam","BRN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.649972319602966","","-0.723196625709534","","-0.712918996810913","","-0.833585381507874","-0.776591658592224","-0.797836303710938","-0.776663303375244","-1.09865534305573","-1.06153678894043","-1.01813435554504","-0.730714499950409","-0.650570631027222","-0.610339283943176","-0.506374061107635","-0.505090177059174","-0.625119209289551","-0.753890037536621","-0.900396168231964","-0.948396801948547","-0.856818914413452","-0.967025220394135","-0.929686605930328","-0.848219990730286","-0.815467596054077","-0.715453028678894",
"Bhutan","BTN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.952189922332764","","-1.098304271698","","-1.11235654354095","","-1.29027080535889","-1.14678192138672","-0.965037107467651","-1.07215547561646","-1.05876350402832","-0.872591912746429","-0.505405187606812","-0.461808323860168","-0.416917324066162","-0.404029369354248","-0.280920058488846","-0.1589115858078","-0.103129334747791","-0.03495067730546","-0.0260850805789232","0.0107382936403155","0.0422869808971882","0.0738838165998459","0.151077374815941","0.219221159815788","0.157621473073959","0.200142219662666",
"Botswana","BWA","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86250102519989","","0.749341487884521","","0.674277007579803","","0.666893184185028","0.706076979637146","0.735869944095612","0.594607651233673","0.513100147247314","0.507903635501862","0.51350462436676","0.437099367380142","0.455533385276794","0.425984054803848","0.53296971321106","0.489309012889862","0.447420954704285","0.450575739145279","0.403009802103043","0.393295079469681","0.462251842021942","0.498041391372681","0.488763332366943","0.455179303884506","0.449784100055695","0.504056930541992",
"Central African Republic","CAF","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.827540695667267","","-0.681777358055115","","-0.670608699321747","","-1.00346577167511","-1.24825465679169","-1.30935919284821","-0.99437552690506","-1.01479351520538","-1.083287358284","-0.988077700138092","-1.00347208976746","-1.10421741008759","-1.08749830722809","-1.24113500118256","-1.47482562065125","-1.39115333557129","-1.22382688522339","-1.08043265342712","-1.106525182724","-1.20389401912689","-1.22169196605682","-1.30338644981384","-1.19410347938538","-1.21400439739227","-1.2622481584549",
"Canada","CAN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56633579730988","","1.55141294002533","","1.53196537494659","","1.49905383586884","1.54755675792694","1.66845452785492","1.50687944889069","1.41559481620789","1.38467156887054","1.40752851963043","1.40189552307129","1.35265874862671","1.38014459609985","1.43750536441803","1.45344030857086","1.41233158111572","1.46729922294617","1.44561123847961","1.47808432579041","1.50241100788116","1.43030834197998","1.47166883945465","1.44535887241364","1.44002974033356","1.4796462059021",
"Central Europe and the Baltics","CEB","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.42448508739471","","1.41288626194","","1.41334688663483","","1.42574501037598","1.45393228530884","1.69253361225128","1.58643817901611","1.51800584793091","1.50381481647491","1.51682984828949","1.55331099033356","1.58491122722626","1.58480751514435","1.64012205600739","1.6280300617218","1.55940091609955","1.55868053436279","1.53236222267151","1.5572851896286","1.59282386302948","1.49553549289703","1.53616297245026","1.54166948795319","1.62134683132172","1.66502690315247",
"Channel Islands","CHI","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.722760617733002","","0.619043707847595","","0.888868987560272","","1.08718740940094","1.05612015724182","1.22528505325317","1.29252052307129","1.08234477043152","1.10488200187683","1.01350831985474","1.01689624786377","1.09564626216888","1.07390916347504","1.07694518566132","1.10628616809845","1.05589711666107","1.00456619262695","0.995819568634033","1.00058126449585","1.02594089508057","0.981485605239868","0.99194073677063","0.957422435283661","0.976769387722015","1.01794922351837",
"China","CHN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.36154520511627","","-1.43743777275085","","-1.38408052921295","","-1.59419310092926","-1.51242911815643","-1.4624639749527","-1.50078511238098","-1.74897027015686","-1.72125017642975","-1.69949722290039","-1.7011684179306","-1.68054747581482","-1.63760912418365","-1.63794147968292","-1.63152050971985","-1.61678075790405","-1.66078317165375","-1.5593478679657","-1.50353038311005","-1.45938873291016","-1.62690627574921","-1.65635871887207","-1.64127457141876","-1.60137104988098","-1.50455415248871",
"Cote d'Ivoire","CIV","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.583225548267365","","-0.638677179813385","","-0.93240624666214","","-1.06705832481384","-1.15452754497528","-1.21964883804321","-1.29461932182312","-1.27867805957794","-1.20208990573883","-1.167560338974","-1.0643789768219","-1.04839730262756","-1.08187675476074","-0.777749955654144","-0.751273810863495","-0.508161246776581","-0.407787770032883","-0.310144811868668","-0.284559160470963","-0.249501124024391","-0.249043196439743","-0.530299067497253","-0.458948493003845","-0.393042325973511","-0.375480622053146",
"Cameroon","CMR","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.938624918460846","","-1.06361532211304","","-1.06040692329407","","-1.09704899787903","-1.06000566482544","-0.974191248416901","-1.03406727313995","-1.02389752864838","-1.04956614971161","-1.06779563426971","-1.04035580158234","-1.058274269104","-1.03312134742737","-1.02158093452454","-1.03697991371155","-0.944579899311066","-0.95428854227066","-1.03096854686737","-1.05181312561035","-1.12888038158417","-1.21103703975677","-1.2054191827774","-1.15918850898743","-1.14725351333618","-1.0663970708847",
