"ID_HDC_G0","pm25VanD20002016"
1,4.39805904822378
2,4.97307929289581
3,8.50785646620069
4,7.14843200943527
5,9.31589685976512
6,8.20569423301475
7,7.7596981493548
8,10.7275749249045
9,8.43295916928792
10,9.62445227674534
11,10.5420484173599
12,10.9802998245918
13,9.56534251345004
14,15.8405663524593
15,8.52995431975311
16,11.547777249044
17,7.38696649989948
18,9.64876292313655
19,15.0245719793181
20,10.2952316660287
21,11.8492294481145
22,9.38117966363338
23,14.5919067476137
24,10.2508017506856
25,8.59695945285987
26,10.9936860418742
27,9.58348465329478
28,11.5559356155569
29,17.5970627979214
30,9.01356543440936
31,12.1752076910723
32,9.40540876716223
33,12.2540123928549
34,11.3660827802258
35,13.3461572648808
36,14.3881324295273
37,11.0942565153619
38,17.0421501687447
39,14.8916476874438
40,8.78292656250866
41,13.7185112606022
42,11.0827240857512
43,8.54123020131219
44,15.154085593519
45,15.0993593494391
46,15.8458982277662
47,8.72642878922426
48,16.330321918049
49,10.1893638456626
50,12.4213890304356
51,14.3448553983275
52,10.1058152965137
53,8.26773779188553
54,10.7279635063292
55,9.37875567418606
56,11.7907764843641
57,14.5642201158732
58,9.26737785364651
59,11.2919545182457
60,10.3228924319332
61,12.4880386488055
62,9.42841764409477
63,9.84336472100098
64,8.96399296575726
65,7.50093471268905
66,8.13649472906823
67,8.87493731293869
68,7.61255771507282
69,8.07702187077144
70,9.08164544121307
71,9.49584922889475
72,7.43880069309302
73,10.8038282461354
74,7.05479196436759
75,12.5782677440738
76,11.5772989321231
77,14.8669822173898
78,6.17610460317912
79,10.8809099958929
80,15.3914067414467
81,12.5963126737358
82,7.04439081327868
83,16.0684067205156
84,7.64523783697084
85,8.64950039928466
86,15.8702122031115
87,6.42372496957938
88,17.128995042721
89,16.0851230319332
90,6.35702448076375
91,16.2936181732847
92,13.0255151715788
93,13.4651416025641
94,19.0130893164595
95,16.1999256408743
96,17.6457479729139
97,7.30449209585818
98,5.93759839887677
99,13.2569092258854
100,15.4783301556717
101,7.40502150002468
102,16.21965050573
103,6.54598800929517
104,7.48530446194602
105,17.4568627513581
106,16.7031995042461
107,15.4264084783681
108,17.2877201741739
109,18.6927151109509
110,15.0628705493698
111,7.07236641948347
112,18.8967878315932
113,13.7211617926823
114,21.2464027471909
115,15.4223007474284
116,15.856796481486
117,8.49547447951594
118,19.3110766056446
119,21.9686390709227
120,16.0538001466868
121,20.648005768871
122,12.7992709151412
123,21.6716791642571
124,20.0039951573954
125,21.9155217440501
126,13.3339271669602
127,17.0742499403816
128,20.2194429442841
129,16.9168541150249
130,11.6891740725292
131,16.0236018818288
132,19.3204015455566
